text,emotion,risk_level
"I feel so happy and excited about life!","Happy","Low"
"I am really stressed about my exams.","Stressed","Medium"
"I feel hopeless and I don't want to live anymore.","Depressed","High"
"Today was a normal day, nothing special.","Neutral","Low"
"I am enjoying my vacation so much.","Happy","Low"
"I feel overwhelmed with work and can't sleep.","Stressed","Medium"
"I feel empty inside and cry all the time.","Depressed","High"
"The weather is nice today.","Neutral","Low"
"I love spending time with my family.","Happy","Low"
"I am anxious about the future.","Stressed","Medium"
"I feel like a burden to everyone.","Depressed","High"
"I just had lunch.","Neutral","Low"
"I am so proud of my achievements.","Happy","Low"
"I can't handle this pressure anymore.","Stressed","Medium"
"I wish I could just disappear.","Depressed","High"
"I am reading a book.","Neutral","Low"
"Life is beautiful and full of opportunities.","Happy","Low"
"I have too many deadlines and it's scary.","Stressed","Medium"
"There is no point in trying anymore.","Depressed","High"
"I am walking to the park.","Neutral","Low"
"I feel great!","Happy","Low"
"I am worried.","Stressed","Medium"
"I am sad.","Depressed","High"
"It is what it is.","Neutral","Low"
"I feel absolutely amazing today!","Happy","Low"
"I finally got the promotion I worked so hard for.","Happy","Low"
"Spending time with my friends makes me feel alive.","Happy","Low"
"I am so grateful for my supportive family.","Happy","Low"
"The sunset was beautiful and peaceful.","Happy","Low"
"I accomplished everything on my to-do list.","Happy","Low"
"I am feeling optimized and energetic.","Happy","Low"
"My heart is full of joy.","Happy","Low"
"I am excited for the weekend trip.","Happy","Low"
"Everything is going exactly as planned.","Happy","Low"
"I feel confident in my abilities.","Happy","Low"
"Life is good.","Happy","Low"
"I am so proud of myself.","Happy","Low"
"What a wonderful surprise!","Happy","Low"
"I feel loved and appreciated.","Happy","Low"

"I have a deadline tomorrow and I haven't started.","Stressed","Medium"
"My boss is putting too much pressure on me.","Stressed","Medium"
"I am worried about my grades.","Stressed","Medium"
"I can't seem to focus on anything.","Stressed","Medium"
"I feel like I'm running out of time.","Stressed","Medium"
"There is just too much noise and chaos.","Stressed","Medium"
"I am analyzing the problem but can't find a solution.","Stressed","Medium"
"My heart is racing and I feel jittery.","Stressed","Medium"
"I have too many responsibilities.","Stressed","Medium"
"I am nervous about the presentation.","Stressed","Medium"
"I feel overwhelmed by my financial situation.","Stressed","Medium"
"I am struggling to balance work and life.","Stressed","Medium"
"I feel burned out.","Stressed","Medium"
"I am anxious about the interview.","Stressed","Medium"
"Everything feels chaotic right now.","Stressed","Medium"

"I feel numb and empty.","Depressed","High"
"I don't see a future for myself.","Depressed","High"
"Nobody cares about me.","Depressed","High"
"I am a failure.","Depressed","High"
"I just want to sleep and never wake up.","Depressed","High"
"I feel like I'm drowning in sadness.","Depressed","High"
"There is no hope left.","Depressed","High"
"I feel completely isolated and alone.","Depressed","High"
"I cry myself to sleep every night.","Depressed","High"
"I feel worthless and unlovable.","Depressed","High"
"The world would be better off without me.","Depressed","High"
"I have lost interest in everything I used to love.","Depressed","High"
"I feel a heavy weight on my chest constantly.","Depressed","High"
"I am in a dark pit and can't climb out.","Depressed","High"
"I feel disconnected from reality.","Depressed","High"

"The sky is blue.","Neutral","Low"
"I walked to the store.","Neutral","Low"
"I am drinking water.","Neutral","Low"
"The meeting is at 2 PM.","Neutral","Low"
"I need to buy groceries.","Neutral","Low"
"It is raining outside.","Neutral","Low"
"I am typing on my keyboard.","Neutral","Low"
"The train arrives in 5 minutes.","Neutral","Low"
"I saw a cat on the street.","Neutral","Low"
"This is a pen.","Neutral","Low"
"I am cooking dinner.","Neutral","Low"
"The book is on the table.","Neutral","Low"
"I am wearing a blue shirt.","Neutral","Low"
"Today is Thursday.","Neutral","Low"
"I am sitting in a chair.","Neutral","Low"
